price,location
3300,chicago
18599,chicago
1500,chicago
62975,chicago
6950,chicago
4000,chicago
9000,chicago
14900,newyork
2420,newyork
500,newyork
6700,newyork
16200,newyork
1100,newyork
172500,newyork
6000,newyork
197000,newyork
4600,newyork
64850,newyork
79000,losangeles
1000,phoenix
32000,phoenix
2500,phoenix
33000,phoenix
7000,phoenix
10,phoenix
37500,phoenix
16900,phoenix
44500,phoenix
12500,phoenix
15500,phoenix
59900,phoenix
18900,phoenix
16900,phoenix
24800,houston
37923,houston
49651,houston
13995,houston
10500,houston
400,houston
29343,houston
45000,houston
26662,houston
12500,houston
25995,houston
45981,houston
44300,houston
5900,houston
35900,houston
23389,houston
2500,philadelphia
5999,philadelphia
7999,philadelphia
3999,philadelphia
6000,philadelphia
350,philadelphia
220,philadelphia
59999,philadelphia
15500,philadelphia
22190,philadelphia
14995,philadelphia
14500,philadelphia
39988,philadelphia
2098,philadelphia
2430,philadelphia
14999,philadelphia
17548,philadelphia
16500,philadelphia
600,chicago
4300,chicago
50,chicago
9500,chicago
36000,chicago
10800,chicago
18,chicago
29,chicago
3012,chicago
5900,chicago
49,chicago
3300,chicago
49000,chicago
17900,chicago
650,chicago
2499,chicago
1500,chicago
9600,newyork
36000,newyork
36000,newyork
36000,newyork
36000,newyork
19995,newyork
8950,newyork
310,newyork
85000,newyork
3000,newyork
3000,newyork
3000,newyork
172500,newyork
19995,newyork
19995,newyork
1775,newyork
2590,newyork
2400,newyork
97900,losangeles
15999,losangeles
84900,losangeles
13000,losangeles
19999,losangeles
10999,losangeles
24999,losangeles
7700,losangeles
27999,losangeles
19999,losangeles
17999,losangeles
20999,losangeles
24500,losangeles
20999,losangeles
16900,phoenix
6700,phoenix
75990,phoenix
60,phoenix
6800,phoenix
37990,phoenix
13900,phoenix
4200,phoenix
32500,phoenix
8800,phoenix
22990,phoenix
33000,phoenix
35000,phoenix
57900,phoenix
12000,phoenix
10800,phoenix
6000,phoenix
43229,houston
46156,houston
15400,houston
1,houston
10900,houston
11900,houston
7250,houston
9500,houston
6800,houston
1,houston
5500,houston
11900,houston
10900,houston
10995,houston
1,philadelphia
25000,philadelphia
100,philadelphia
17999,philadelphia
4999,philadelphia
17499,philadelphia
16999,philadelphia
19315,philadelphia
14982,philadelphia
7000,philadelphia
17000,philadelphia
17200,philadelphia
4900,philadelphia
9499,philadelphia
4900,philadelphia
